Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
2007300100,210000,0.0895,0,0,943.0,919,1.0,6,3,1,0,0,1,0,0,1,1.0,4,2.0,1956
2008230040,319000,0.0413,0,0,943.0,1280,1.0,6,5,0,0,0,0,0,0,0,2.0,4,2.0,1994
2008250100,190000,0.0746,0,0,943.0,1144,1.0,6,4,0,0,0,1,0,0,0,1.5,3,1.5,1991
2009280130,375000,0.1342,0,0,943.0,2028,1.0,6,5,0,1,0,1,0,0,0,1.5,3,2.75,1956
2009310030,192500,0.0721,0,0,943.0,1172,1.0,6,4,0,0,0,1,0,0,0,2.0,4,1.75,1980
2009350160,303500,0.0747,0,0,943.0,1248,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.75,1986
2011180060,75000,0.0608,0,0,943.0,772,1.0,5,3,1,0,0,1,0,0,0,1.0,3,1.0,1956
2012360051,265000,0.1492,0,0,943.0,769,1.0,6,4,0,0,0,1,0,0,0,1.0,2,1.0,1996
2013190030,205000,0.0746,0,0,943.0,1176,1.0,6,4,0,0,0,0,0,0,0,1.5,3,1.0,1968
2014270020,260000,0.0688,0,0,943.0,1184,1.0,6,4,0,0,0,1,0,0,0,1.5,3,1.0,2006
2014310040,249000,0.1515,0,0,943.0,554,1.0,6,4,1,1,0,1,0,0,0,1.0,2,1.0,1975
2014320040,125000,0.1492,0,0,943.0,2044,1.0,5,4,0,0,0,0,0,0,1,1.0,3,1.0,1966
2015130102,270000,0.0746,0,0,943.0,1407,1.0,6,5,0,1,0,1,0,0,0,2.0,3,2.5,2011
2015230060,320000,0.1492,0,0,943.0,1598,1.0,6,4,0,0,0,0,0,0,0,2.0,5,2.0,1989
2015250066,245000,0.0775,0,0,943.0,826,1.0,6,3,1,1,0,0,0,0,1,1.0,4,1.0,1981
2016150012,196000,0.0746,0,0,943.0,1804,1.0,6,4,0,0,0,1,0,0,0,2.0,4,2.0,1961
2017260150,202000,0.1492,0,0,943.0,1584,1.0,6,4,0,0,0,1,0,0,0,1.5,3,2.0,1956
2017270170,350000,0.1119,0,0,943.0,1770,1.0,6,4,0,1,0,1,0,0,1,1.5,5,1.75,1980
2017280023,215000,0.1492,0,0,943.0,1852,0.825,5,2,0,0,0,0,0,0,1,1.5,3,1.0,1934
2017290050,106189,0.1492,0,0,943.0,1292,1.0,5,3,0,1,0,0,0,0,0,1.5,2,1.0,1962
2017320160,289900,0.1492,0,0,943.0,1108,1.0,6,4,0,0,0,1,1,0,0,1.5,3,1.5,1999
2018150030,560000,0.1492,0,0,943.0,924,1.0,6,4,0,1,0,1,0,0,0,1.0,2,1.0,1960
2018150040,560000,0.1492,0,0,943.0,1350,1.0,6,4,0,1,0,1,0,0,0,1.5,3,1.0,1960
2018240060,175000,0.1492,0,0,943.0,2248,1.0,6,4,1,0,0,1,0,0,0,2.0,5,2.0,1979
2021140030,262000,0.043,0,0,943.0,1362,1.0,6,4,0,0,0,1,0,0,0,2.0,3,1.0,1974
2024170085,270000,0.0238,0,0,943.0,1068,1.0,6,5,0,0,0,1,1,0,1,2.0,2,1.5,2003
2025130100,180583,0.0585,0,0,943.0,1342,1.0,6,3,0,1,0,1,0,0,0,1.0,3,1.75,1983
