Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
3704020010,335000,0.2979,0,0,451.0,1462,1.0,6,5,0,0,0,0,1,0,1,1.0,3,2.0,1994
3750200110,299950,0.2479,0,0,5407.0,1834,1.0,6,3,0,0,0,0,0,0,1,1.0,3,1.5,1985
3755000770,270000,0.1515,0,0,1054.0,1296,1.0,6,4,0,0,0,0,0,0,0,2.0,2,1.0,1964
3756030271,225000,0.457,0,0,5407.0,1668,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1993
3775001260,265000,0.2364,0,0,1351.0,1724,1.0,6,4,0,0,0,1,0,0,1,1.0,3,2.0,1985
3775500400,572000,0.312,0,0,1054.0,2544,1.0,6,7,0,0,0,1,1,0,1,2.0,4,3.0,1990
3778020230,365000,0.3003,0,0,1054.0,1684,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1988
3800400010,400000,0.2082,0,0,1351.0,1929,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1985
3810000700,185000,0.1571,0,0,5407.0,816,1.0,6,3,0,0,0,1,0,1,1,1.0,2,1.0,1971
3823020100,270000,0.1797,0,0,943.0,1113,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.5,1983
3823030050,257500,0.2012,0,0,943.0,921,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1984
3840500050,580000,0.3443,1,0,1054.0,2665,1.0,6,7,0,0,0,1,1,0,1,2.0,3,2.5,1988
3847070100,345000,0.374,0,0,6433.0,2244,1.0,6,5,0,0,0,0,1,0,1,2.0,4,2.5,1985
3847070280,399000,0.4037,0,0,6433.0,1953,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.25,2005
3848001560,285000,0.1915,0,0,1043.0,1456,1.0,6,4,0,0,0,1,1,0,0,2.0,3,2.5,2018
3848001880,221500,0.1944,0,0,1043.0,1296,1.0,6,5,0,0,0,0,0,0,0,1.0,3,2.0,2017
3848001920,250000,0.1951,0,0,1043.0,1339,1.0,6,4,0,0,0,1,1,0,0,2.0,3,2.5,2006
3848001950,150000,0.1928,0,0,1043.0,1057,1.0,6,3,0,0,0,0,0,0,1,1.0,2,2.0,1982
3848002000,285000,0.1893,0,0,1043.0,1452,1.0,6,4,0,0,0,1,1,0,0,2.0,3,2.5,2018
3848002170,242000,0.1944,0,0,1043.0,1184,1.0,6,5,0,0,0,1,1,0,0,1.0,3,2.0,2004
3848002530,195000,0.1982,0,0,1043.0,1296,1.0,6,5,0,0,0,0,0,0,0,1.0,3,2.0,1988
3848003050,250000,0.1659,0,0,1043.0,1339,1.0,6,4,0,0,0,0,1,0,0,2.0,3,2.0,2007
3850500051,510000,0.332,0,0,4215.0,3096,1.0,6,5,0,0,0,1,1,0,2,2.0,4,2.5,1996
3851570080,395000,0.2898,0,0,6433.0,1929,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1990
3860100220,370000,0.2324,0,0,1351.0,1792,1.0,6,5,0,0,0,0,1,0,1,2.0,3,1.5,1981
3870200210,425000,0.3102,0,0,6433.0,2747,1.0,6,5,0,0,0,1,1,0,1,2.0,5,1.75,1984
3870200280,303000,0.3652,0,0,6433.0,1342,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1984
3870200290,330000,0.4008,0,0,6433.0,1342,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.75,1984
3875400060,230000,0.2754,0,0,6433.0,960,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1982
3875420080,260000,0.3115,0,0,6433.0,1136,1.0,6,4,0,0,0,1,1,0,1,1.0,2,1.5,1983
3875420210,270000,0.2876,0,0,6433.0,988,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.0,1990
3875440070,255000,0.2073,0,0,6433.0,1472,1.0,6,4,0,0,0,1,0,0,1,1.0,3,1.0,1984
3886400260,299950,0.2731,0,0,1428.0,1068,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1989
3900000800,352000,0.1377,0,0,1351.0,892,1.0,6,3,0,0,0,1,0,1,0,1.0,2,1.75,1988
3900001000,427000,0.1377,0,0,1351.0,1888,1.0,6,4,0,0,0,0,0,0,1,1.5,3,1.5,1996
3900002740,260000,0.1377,0,0,1351.0,995,1.0,6,2,0,0,0,0,0,0,0,1.0,2,1.0,1974
3905000615,283575,0.1492,0,0,1351.0,1736,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2005
3905001014,258000,0.2238,0,0,1351.0,1870,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.0,1980
3918000610,360000,0.3004,0,0,6433.0,1758,1.0,6,5,1,0,0,1,1,0,1,1.0,3,1.75,1990
3918000900,305000,0.2872,0,0,6433.0,1473,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.0,1990
3918000980,317000,0.2882,0,0,6433.0,1618,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1991
3920300130,325000,0.2387,0,0,6433.0,1652,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1990
3920300330,325000,0.2929,0,0,6433.0,1392,1.0,6,5,0,0,0,0,1,0,1,2.0,3,1.75,1990
3920300340,309950,0.289,0,0,6433.0,1582,1.0,6,5,0,0,0,1,1,0,2,2.0,3,2.25,1989
3920300360,307500,0.282,0,0,6433.0,1276,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.0,1990
3920300700,312000,0.2609,0,0,6433.0,1366,1.0,6,5,0,0,0,1,1,0,2,2.0,3,1.75,1990
3920320360,320000,0.2869,0,0,6433.0,2186,1.0,6,5,0,0,0,1,1,0,2,2.0,3,2.5,1990
3921010390,275000,0.1893,0,0,6433.0,987,1.0,6,4,0,0,0,1,1,0,0,1.0,3,1.0,1990
3921010720,257900,0.1497,0,0,6433.0,988,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1983
3921011280,255000,0.3257,0,0,6433.0,1080,1.0,6,3,0,0,0,1,1,0,0,1.0,3,1.0,1984
3921020390,285500,0.1695,0,0,6433.0,1008,1.0,6,4,0,0,0,0,1,0,1,1.0,3,2.0,1998
3925200010,190000,0.2573,0,0,46.0,1450,1.0,6,3,0,0,0,0,0,0,1,1.0,3,1.0,1978
3970000632,633000,0.5596,1,0,149.0,2748,1.0,6,5,0,0,0,1,1,1,1,2.0,4,2.75,1990
3970100010,305000,0.3934,0,0,24.0,1798,1.0,6,5,0,0,0,1,1,0,1,2.0,2,2.5,1989
3970100050,334000,0.3934,0,0,24.0,1775,1.0,6,5,0,0,0,1,1,0,1,2.0,2,2.5,1989
4000050040,455000,0.2757,0,0,1054.0,2329,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1993
4000090370,795000,0.3497,0,0,1054.0,2947,1.0,6,8,0,0,0,1,1,0,1,2.0,3,2.75,2000
4000230620,439000,0.2108,0,0,1351.0,3106,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1994
4000230750,448500,0.236,0,0,1351.0,2018,1.0,6,6,0,0,0,1,1,0,1,1.0,4,2.0,1998
4000270040,491000,0.1951,0,0,1351.0,2479,1.0,6,6,0,0,0,1,1,0,2,2.0,4,2.75,1998
4000270070,385000,0.3482,0,0,1351.0,1661,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,1993
4000290080,385000,0.1033,0,0,1351.0,1998,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,1994
4000320170,465000,0.3337,0,0,1054.0,1857,1.0,6,6,0,0,0,1,1,0,1,1.0,3,1.75,1993
4000320180,458500,0.3337,0,0,1054.0,1945,1.0,6,6,0,0,0,1,1,0,1,1.0,3,1.75,1993
4000330430,560000,0.227,0,0,1351.0,2364,1.0,6,6,0,0,0,0,1,0,1,2.0,4,2.5,1994
4000330740,585000,0.2516,0,0,1351.0,3080,1.0,6,6,0,0,0,0,1,0,1,2.0,4,2.5,1996
4000350440,530000,0.2875,0,0,1054.0,2187,1.0,6,6,0,0,0,0,1,0,2,2.0,4,2.5,2005
4000351140,475000,0.2493,0,0,1351.0,2142,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.75,2000
4000360120,739500,0.4370000000000001,0,0,324.0,1999,1.0,6,7,0,0,0,1,1,0,1,1.0,3,2.0,2017
4000360130,695000,0.515,0,0,324.0,2502,1.0,6,7,1,0,0,1,1,0,1,2.0,4,3.75,2000
4000360500,730000,0.4035,0,0,324.0,4101,1.0,6,9,0,0,0,1,1,0,2,2.0,4,3.5,1997
4000360610,695000,0.5123,0,0,324.0,3001,1.0,6,8,0,0,0,0,1,0,2,2.0,3,2.5,1994
4000400370,417500,0.2068,0,0,1054.0,1543,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1994
4000440010,340000,0.2892,0,0,1351.0,1448,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2004
4000480100,267000,0.14,0,0,1351.0,1313,1.0,6,6,0,0,0,1,1,0,1,1.0,3,2.0,1994
4000480320,309950,0.1952,0,0,1351.0,1277,1.0,6,6,0,0,0,0,1,0,1,1.0,3,2.0,1994
4000500211,429950,0.09,0,0,1351.0,1314,1.0,6,6,0,1,1,1,1,0,1,1.0,3,2.5,1999
4000560080,425000,0.3386,0,0,324.0,1855,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1994
4000560390,468000,0.3949,0,0,324.0,2036,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1995
4000560820,474500,0.4567,0,0,324.0,2375,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.75,2002
4000630060,499000,0.2933,0,0,1054.0,2292,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,1994
4000630140,589000,0.2954,0,0,1054.0,1375,1.0,6,6,0,1,1,1,1,0,1,1.0,3,2.75,1995
4000630310,485000,0.348,0,0,1054.0,2267,1.0,6,6,0,0,0,0,1,0,1,1.0,3,2.0,1995
4000670130,618210,0.2758,0,0,1054.0,2119,1.0,6,6,0,0,0,1,1,0,1,1.0,3,2.0,1995
4000680230,303500,0.1896,0,0,1351.0,1861,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1998
