Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
7795001340,216800,0.1377,0,0,943.0,1064,1.0,6,4,0,0,0,1,1,0,0,1.0,3,1.0,1974
7810000820,230000,0.2203,0,0,5407.0,1348,1.0,6,4,0,0,0,1,0,0,0,1.0,2,1.0,1975
7815001025,329950,0.1148,0,0,943.0,1562,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2017
7816200730,275000,0.1836,0,0,1349.0,1128,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.5,1987
7816310360,260000,0.2611,0,0,1349.0,1664,1.0,6,5,0,0,0,1,1,0,1,2.0,4,1.75,1996
7816310590,280000,0.2716,0,0,1349.0,1326,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.75,1987
7816330380,288000,0.2359,0,0,1349.0,1444,1.0,6,4,0,0,0,1,1,0,1,2.0,3,2.75,1993
7816330490,276000,0.2369,0,0,1349.0,1160,1.0,6,4,0,0,0,0,1,0,1,1.0,3,2.0,2010
7816330610,276000,0.2341,0,0,1349.0,1006,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.75,2000
7816331180,195000,0.2687,0,0,1349.0,1160,1.0,5,4,0,0,0,1,1,0,1,1.0,3,2.0,1992
7816390130,207000,0.1642,0,0,943.0,1638,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,1988
7837000550,570000,0.0885,0,0,1054.0,2400,1.0,6,6,0,0,0,1,1,0,2,2.0,3,2.5,1991
7845001102,303000,0.179,0,0,4215.0,1174,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1993
7850001080,270000,0.4178,0,0,943.0,1814,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.75,1978
7855900140,299500,0.2442,0,0,6433.0,2001,1.0,6,5,0,0,0,0,1,0,1,2.0,3,1.75,1989
7855900510,300000,0.241,0,0,6433.0,1344,1.0,6,4,0,0,0,0,1,0,1,2.0,3,1.75,1989
7855900830,320500,0.2335,0,0,6433.0,1446,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1990
7855901950,284000,0.2582,0,0,6433.0,1248,1.0,6,4,0,0,0,1,1,0,1,1.0,3,2.0,1994
7855902270,237000,0.241,0,0,6433.0,1188,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.75,1992
7865000840,250000,0.1434,0,0,943.0,1980,1.0,6,4,0,0,0,0,0,0,1,1.5,3,1.5,1978
7882000670,235500,0.2905,0,0,451.0,1020,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.0,1987
7882000691,266500,0.2275,0,0,451.0,1246,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.75,1995
7882000760,152700,0.274,0,0,451.0,1176,1.0,6,2,0,0,0,1,0,0,2,2.0,2,1.0,1983
7882001030,282950,0.3773,0,0,451.0,1500,1.0,6,4,0,0,0,1,0,0,1,1.0,3,2.0,1990
7882230650,257000,0.2089,0,0,451.0,1456,1.0,6,4,0,0,0,1,0,0,1,1.0,3,2.0,1995
7882250191,180000,0.4555,0,0,451.0,1398,1.0,6,3,0,0,0,1,0,0,1,1.0,4,1.5,1987
7890570020,325000,0.2908,0,0,6433.0,1462,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1990
7909500450,145000,0.0881,0,0,1351.0,930,1.0,6,4,0,0,0,0,1,0,1,1.0,2,1.0,1990
7915000551,250000,0.2396,0,0,943.0,1000,1.0,6,4,0,0,0,1,1,0,0,1.0,3,1.0,1973
7915000620,279000,0.2754,0,0,943.0,1464,1.0,6,4,1,0,0,1,1,0,0,1.0,2,1.0,1986
7915000631,230000,0.1652,0,0,943.0,1440,1.0,6,4,0,0,0,0,0,0,1,1.0,3,1.75,1984
7935200190,365000,0.1503,0,0,943.0,1893,1.0,6,4,0,0,0,0,0,0,1,1.5,5,1.75,1996
