Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
5630000700,96346,0.1377,0,0,943.0,0,1,1,1,0,1916,1.0,6,4,0,0,0,0,0,0,2,1.5,3,2.0,1998,1,1,1,1,1
5640001350,196000,0.3099,0,0,1275.0,0,1,1,1,0,968,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.0,1981,1,1,1,1,0
5660200330,205000,0.1434,0,0,943.0,0,1,0,1,0,748,1.0,6,3,0,0,0,0,0,0,0,1.0,2,1.0,1980,1,1,1,1,1
5670000521,250000,0.1434,0,0,943.0,0,1,1,1,0,1676,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.0,1981,1,1,1,1,1
5670001432,305500,0.0861,0,0,943.0,0,1,1,1,0,1674,1.0,6,5,0,0,0,1,1,0,0,2.0,4,2.25,2006,1,1,1,1,1
5670002020,299000,0.1147,0,0,943.0,0,1,1,1,0,1512,1.0,6,4,0,1,1,1,0,0,0,1.5,3,1.75,1992,1,1,1,1,1
5670002300,291500,0.1147,0,0,943.0,0,1,1,0,0,1168,0.95,6,2,0,0,0,0,0,0,1,1.0,3,1.5,1981,1,1,1,1,1
5670002350,270000,0.1377,0,0,943.0,0,1,1,1,0,1408,0.975,6,3,0,0,0,0,0,0,0,2.0,3,1.75,2000,1,1,1,1,1
5670003440,270000,0.1147,0,0,943.0,0,1,1,0,0,912,1.0,6,5,0,0,0,1,0,0,1,1.0,2,1.0,2004,1,1,1,1,1
5670003810,204000,0.1147,0,0,943.0,0,1,1,0,0,898,0.7,6,3,0,0,0,1,0,0,0,1.0,2,1.0,2005,1,1,1,1,1
5670300220,180000,0.0849,0,0,943.0,0,1,1,1,0,860,1.0,6,3,0,0,0,1,0,1,0,1.0,1,2.0,1976,1,1,1,1,1
5670400363,290000,0.1147,0,0,943.0,0,1,1,0,0,1110,1.0,6,4,0,0,0,1,1,0,0,1.0,3,1.75,2008,1,1,1,1,1
5670400380,246000,0.1147,0,0,943.0,0,1,1,0,0,1070,1.0,5,3,0,0,0,0,1,0,1,1.0,3,1.0,1987,1,1,1,1,1
5690000872,320000,0.1151,0,0,1351.0,0,1,0,0,0,1088,1.0,6,4,0,1,1,1,0,0,1,1.0,3,1.5,1975,1,1,1,1,1
5721000580,285550,0.2203,0,0,5407.0,1,1,1,1,0,1448,1.0,6,5,0,0,0,0,1,0,1,2.0,3,1.5,1987,1,1,1,1,0
5745300990,379950,0.14,0,0,4215.0,0,1,0,1,0,1664,1.0,6,5,0,0,0,0,0,1,0,1.5,4,2.75,2010,1,1,1,1,1
5770000690,272000,0.1377,0,0,943.0,0,1,0,0,0,580,1.0,6,3,1,1,0,1,0,0,0,1.0,4,1.5,1980,1,1,1,1,1
5780000649,289950,0.3443,0,0,5407.0,1,1,1,1,0,1396,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1985,1,1,1,1,0
5780000780,290000,0.2582,0,0,5407.0,1,1,1,1,0,1356,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.5,1979,1,1,1,1,0
5780001072,310000,0.155,0,0,5407.0,1,1,1,1,0,1440,1.0,6,4,0,1,1,1,0,0,0,1.5,5,3.0,1987,1,1,1,1,0
5780001870,145000,0.2582,0,0,5407.0,1,1,1,1,0,1920,1.0,5,3,0,0,0,0,0,0,1,2.0,3,1.75,1978,1,1,1,1,0
5780002140,279500,0.2926,0,0,5407.0,1,1,1,1,0,1610,1.0,6,4,0,0,0,1,1,0,1,1.5,5,1.5,1979,1,1,1,1,0
5785000530,336500,0.2066,0,0,1351.0,1,1,1,1,0,1988,1.0,6,5,0,0,0,0,0,0,0,2.0,3,1.75,2004,1,1,1,1,1
5785000564,485000,0.1404,0,0,1351.0,1,1,1,1,0,2552,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,2007,1,1,1,1,1
5785000952,335000,0.1377,0,0,1351.0,1,1,1,1,0,1298,1.0,6,4,0,0,0,1,1,0,2,1.0,2,2.0,1999,1,1,1,1,1
5785001240,292000,0.1652,0,0,1351.0,1,1,1,1,0,1110,1.0,6,4,0,0,0,1,1,0,1,1.0,2,1.0,1977,1,1,1,1,1
5785001971,350000,0.2066,0,0,1351.0,1,1,1,1,0,1620,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1982,1,1,1,1,1
5785002470,257000,0.1377,0,0,1351.0,1,1,1,1,0,1005,1.0,5,5,0,1,1,1,0,0,1,1.0,3,1.5,1980,1,1,1,1,1
5792030100,275000,0.2169,0,0,6433.0,0,1,0,0,0,1562,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.75,1990,1,1,1,1,1
5805000580,299900,0.2387,0,0,5407.0,0,1,1,1,0,1136,1.0,6,4,0,0,0,1,1,0,1,1.0,3,2.0,2015,1,1,1,1,0
5840000553,359950,0.1549,0,0,943.0,0,1,1,1,0,2148,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2018,1,1,1,1,0
5840002011,335000,0.1592,0,0,943.0,0,1,1,1,0,1376,1.0,6,4,0,0,0,0,0,0,0,1.0,3,1.0,1996,1,1,1,1,1
5840002440,255000,0.154,0,0,943.0,0,1,0,1,0,1428,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.5,1981,1,1,1,1,1
5840002740,292500,0.2984,0,0,943.0,0,1,1,1,0,2188,1.0,6,5,0,0,0,1,1,0,1,1.5,3,1.5,1974,1,1,1,1,0
5844020141,295000,0.2994,0,0,5407.0,0,0,0,0,0,1531,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.0,1986,1,1,1,1,0
5845000530,200000,0.1147,0,0,5407.0,1,1,0,0,0,652,1.0,6,4,0,0,0,0,0,0,0,1.0,2,1.0,2001,1,1,1,1,0
5860200360,200000,0.2132,0,0,943.0,0,1,1,1,0,1268,1.0,6,4,1,0,0,0,0,1,1,1.0,2,1.0,1974,1,1,1,1,1
5870300340,250000,0.157,0,0,4215.0,0,1,0,1,1,923,1.0,6,3,0,0,0,1,0,0,0,1.0,2,1.0,1979,1,1,1,1,0
5870300410,302000,0.132,0,0,4215.0,0,1,0,1,0,1224,1.0,6,4,0,0,0,0,0,0,1,1.0,2,1.0,1968,1,1,1,1,1
5905000530,155200,0.1735,0,0,1054.0,0,1,1,0,0,1200,1.0,6,3,0,1,1,1,1,0,1,1.0,4,2.25,1978,1,1,1,1,1
5905001820,465000,0.1962,0,0,1054.0,0,1,1,0,0,2469,1.0,6,4,0,0,0,0,0,0,1,1.0,3,2.0,1978,1,1,1,1,1
5905001840,349000,0.2087,0,0,1054.0,0,1,1,0,0,1515,1.0,6,6,0,0,0,1,1,0,1,1.0,2,2.0,2005,1,1,1,1,1
5905002340,425000,0.2203,0,0,1054.0,0,1,1,0,0,2382,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1974,1,1,1,1,1
5905002400,550000,0.2582,0,0,1054.0,0,1,1,0,0,1844,1.0,6,5,0,1,1,1,1,0,1,1.0,4,3.0,2007,1,1,1,1,1
5910000860,290000,0.1243,0,0,943.0,0,1,1,1,0,1530,1.0,6,5,0,0,0,0,1,0,0,2.0,3,2.5,2005,1,1,1,1,1
5925200120,87000,0.1492,0,0,1428.0,0,1,1,1,0,968,1.0,6,3,0,0,0,0,1,0,0,1.0,2,1.0,1961,1,0,1,1,0
5925200234,265000,0.1928,0,0,1428.0,0,1,1,1,0,1795,1.0,6,4,0,0,0,0,0,0,0,1.0,3,1.0,1996,1,0,1,1,0
5930030220,687000,0.2409,1,0,1054.0,0,0,0,0,0,1554,1.0,6,6,0,1,1,1,1,0,1,1.0,4,2.5,1990,1,1,1,1,1
5945400170,520000,0.2315,1,0,1054.0,0,1,1,0,0,1948,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1985,1,1,1,1,1
5945400290,495500,0.2409,1,0,1054.0,0,1,1,0,0,2602,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,1983,1,1,1,1,1
5945400890,415000,0.2066,0,0,1054.0,0,1,1,1,0,1200,1.0,6,5,0,1,1,1,0,1,0,1.0,4,2.75,2002,1,1,1,1,1
5945401510,370000,0.2123,0,0,1054.0,0,1,1,0,0,1872,1.0,6,5,0,0,0,1,1,0,1,2.0,4,1.75,1981,1,1,1,1,1
5945620140,395950,0.2597,0,0,1054.0,0,0,0,1,0,1116,1.0,6,5,0,1,1,1,1,0,2,1.0,4,2.5,1989,1,1,1,1,1
5945620830,305000,0.1755,0,0,1054.0,0,0,0,1,0,1736,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1986,1,1,1,1,1
5945620981,283000,0.1687,0,0,1054.0,0,0,0,1,0,1344,1.0,6,5,0,1,1,1,1,0,1,1.0,3,3.0,1991,1,1,1,1,1
5945850140,399000,0.2233,1,0,56.0,0,1,1,0,0,1588,1.0,6,5,0,0,0,1,1,0,1,2.0,4,1.75,1988,1,1,1,1,0
5965200090,416250,0.328,0,0,5407.0,1,0,1,0,0,2597,1.0,6,4,0,0,0,0,0,0,1,2.0,4,3.0,1993,1,1,1,1,0
5985000780,300000,0.1951,0,0,4215.0,0,1,0,1,0,804,1.0,6,3,0,0,0,0,0,1,1,1.0,2,1.0,1973,1,1,1,1,0
5985001050,300000,0.2008,0,0,4215.0,0,1,0,1,0,1694,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1970,1,1,1,1,0
5985001060,328000,0.1721,0,0,4215.0,0,1,0,1,0,1412,1.0,6,5,0,1,0,1,0,0,0,2.0,3,2.0,1980,1,1,1,1,0
5985001370,272000,0.2869,0,0,4215.0,0,1,0,1,0,1590,1.0,6,5,0,0,0,1,0,0,1,1.5,4,1.5,1967,1,1,1,1,0
5995000590,320500,0.4338,0,0,4215.0,0,1,0,1,0,3238,1.0,6,3,0,0,0,0,0,0,1,3.0,3,1.75,1986,1,1,1,1,0
6000000930,356000,0.2732,0,0,4215.0,0,1,1,1,0,1617,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1993,1,1,1,1,0
6020010130,127500,0.2527,0,0,4215.0,0,1,0,1,0,2201,1.0,6,6,0,0,0,1,1,0,1,2.0,3,3.25,1993,1,1,1,1,1
6020040070,310000,0.2746,0,0,6433.0,0,0,0,0,0,1954,1.0,6,5,0,0,0,1,0,0,1,2.0,3,2.5,1992,1,1,1,1,1
