Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
3430600051,547000,0.29,1,0,324.0,0,0,0,0,0,2275,1.0,6,5,1,0,0,1,1,0,1,1.0,3,2.5,1996,1,0,1,1,0
3440002280,287000,0.3719,0,0,1275.0,0,0,0,0,0,1392,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.0,1986,1,1,1,1,0
3440200080,240000,0.6066,0,0,1275.0,0,0,0,0,0,1344,1.0,6,4,0,0,0,1,0,0,1,1.0,3,1.0,1986,1,1,1,1,0
3440400020,276000,0.3619,0,0,1275.0,0,1,0,1,0,968,1.0,6,4,0,0,0,0,1,0,1,1.0,2,1.0,1983,1,1,1,1,0
3450000660,485000,0.303,0,0,1054.0,0,1,0,1,0,1921,1.0,6,4,0,0,0,0,0,0,1,2.0,4,2.5,1970,1,1,1,1,0
3450001225,409000,0.1377,0,0,1054.0,0,1,0,1,0,1120,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,2005,1,1,1,1,0
3450001280,550000,0.1377,1,0,1054.0,0,1,0,1,0,2718,1.0,6,7,0,1,0,0,0,0,2,2.0,3,2.5,1994,1,1,1,1,0
3450001581,585000,0.1377,0,0,1054.0,0,1,0,1,0,2312,1.0,6,6,0,0,0,1,0,1,1,2.0,3,3.0,2005,1,1,1,1,0
3450001770,460000,0.1377,0,0,1054.0,0,1,0,1,0,1954,1.0,6,2,0,0,0,0,0,0,0,2.0,4,2.0,2004,1,1,1,1,0
3450001783,313000,0.1377,0,0,1054.0,0,1,0,1,0,1140,1.0,6,5,0,0,0,1,1,0,0,1.0,3,2.0,1993,1,1,1,1,0
3450002510,272000,0.1377,0,0,1054.0,0,1,0,1,0,1120,1.0,6,3,1,1,0,1,0,0,0,1.0,2,1.0,1990,1,1,1,1,0
3485011990,250000,0.1721,0,0,5407.0,0,1,0,0,0,1398,1.0,6,4,0,0,0,1,1,0,1,2.0,4,2.0,1988,1,1,1,1,0
3485015261,267000,0.2181,0,0,5407.0,0,1,0,0,0,1011,1.0,6,4,0,0,0,0,1,0,1,1.0,3,1.0,2005,1,1,1,1,0
3605000740,255000,0.1671,0,0,214.0,0,1,1,1,1,1668,1.0,6,5,0,1,0,1,0,0,1,2.0,3,1.5,1976,0,0,1,1,0
3665000881,211000,0.1147,0,0,943.0,0,1,1,1,0,828,1.0,6,3,0,0,0,1,0,1,0,1.0,2,1.0,1980,1,1,1,1,0
3695000820,216000,0.1377,0,0,943.0,0,1,1,1,0,808,1.0,6,3,0,1,0,0,1,0,0,1.0,2,1.0,1972,1,1,1,1,1
3704020010,335000,0.2979,0,0,451.0,0,0,0,0,0,1462,1.0,6,5,0,0,0,0,1,0,1,1.0,3,2.0,1994,1,0,1,1,0
3750200110,299950,0.2479,0,0,5407.0,1,1,1,1,0,1834,1.0,6,3,0,0,0,0,0,0,1,1.0,3,1.5,1985,1,1,1,1,0
3755000770,270000,0.1515,0,0,1054.0,0,1,1,1,0,1296,1.0,6,4,0,0,0,0,0,0,0,2.0,2,1.0,1964,1,1,1,1,1
3756030271,225000,0.457,0,0,5407.0,0,0,0,0,0,1668,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1993,1,1,1,1,0
3775001260,265000,0.2364,0,0,1351.0,1,1,0,0,0,1724,1.0,6,4,0,0,0,1,0,0,1,1.0,3,2.0,1985,1,1,1,1,1
3775500400,572000,0.312,0,0,1054.0,0,1,1,0,0,2544,1.0,6,7,0,0,0,1,1,0,1,2.0,4,3.0,1990,1,1,1,1,1
3778020230,365000,0.3003,0,0,1054.0,0,1,0,1,0,1684,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1988,1,1,1,1,1
3800400010,400000,0.2082,0,0,1351.0,1,1,1,1,0,1929,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1985,1,1,1,1,1
3810000700,185000,0.1571,0,0,5407.0,1,1,0,0,0,816,1.0,6,3,0,0,0,1,0,1,1,1.0,2,1.0,1971,1,1,1,1,0
3823020100,270000,0.1797,0,0,943.0,0,0,1,0,0,1113,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.5,1983,1,1,1,1,0
3823030050,257500,0.2012,0,0,943.0,0,1,1,0,0,921,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1984,1,1,1,1,0
3840500050,580000,0.3443,1,0,1054.0,0,1,0,1,0,2665,1.0,6,7,0,0,0,1,1,0,1,2.0,3,2.5,1988,1,1,1,1,0
3847070100,345000,0.374,0,0,6433.0,0,0,1,1,0,2244,1.0,6,5,0,0,0,0,1,0,1,2.0,4,2.5,1985,1,0,1,1,1
3847070280,399000,0.4037,0,0,6433.0,0,0,1,1,0,1953,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.25,2005,1,0,1,1,1
3848001560,285000,0.1915,0,0,1043.0,0,1,0,0,0,1456,1.0,6,4,0,0,0,1,1,0,0,2.0,3,2.5,2018,1,1,1,1,0
3848001880,221500,0.1944,0,0,1043.0,0,0,0,0,0,1296,1.0,6,5,0,0,0,0,0,0,0,1.0,3,2.0,2017,1,1,1,1,0
3848001920,250000,0.1951,0,0,1043.0,0,0,0,0,0,1339,1.0,6,4,0,0,0,1,1,0,0,2.0,3,2.5,2006,1,1,1,1,0
3848001950,150000,0.1928,0,0,1043.0,0,1,0,0,0,1057,1.0,6,3,0,0,0,0,0,0,1,1.0,2,2.0,1982,1,1,1,1,0
3848002000,285000,0.1893,0,0,1043.0,0,1,0,0,0,1452,1.0,6,4,0,0,0,1,1,0,0,2.0,3,2.5,2018,1,1,1,1,0
3848002170,242000,0.1944,0,0,1043.0,0,1,0,0,0,1184,1.0,6,5,0,0,0,1,1,0,0,1.0,3,2.0,2004,1,1,1,1,0
3848002530,195000,0.1982,0,0,1043.0,0,1,0,0,0,1296,1.0,6,5,0,0,0,0,0,0,0,1.0,3,2.0,1988,1,1,1,1,0
3848003050,250000,0.1659,0,0,1043.0,0,0,0,0,0,1339,1.0,6,4,0,0,0,0,1,0,0,2.0,3,2.0,2007,1,1,1,1,0
3850500051,510000,0.332,0,0,4215.0,0,1,0,1,0,3096,1.0,6,5,0,0,0,1,1,0,2,2.0,4,2.5,1996,1,0,1,1,0
3851570080,395000,0.2898,0,0,6433.0,0,0,0,0,0,1929,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.75,1990,1,0,1,1,0
3860100220,370000,0.2324,0,0,1351.0,0,1,1,1,0,1792,1.0,6,5,0,0,0,0,1,0,1,2.0,3,1.5,1981,1,1,1,1,1
3870200210,425000,0.3102,0,0,6433.0,0,0,1,1,0,2747,1.0,6,5,0,0,0,1,1,0,1,2.0,5,1.75,1984,1,0,1,1,0
3870200280,303000,0.3652,0,0,6433.0,0,0,1,1,0,1342,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1984,1,0,1,1,0
3870200290,330000,0.4008,0,0,6433.0,0,0,1,1,0,1342,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.75,1984,1,0,1,1,0
3875400060,230000,0.2754,0,0,6433.0,0,0,0,0,0,960,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1982,1,1,1,1,0
