Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built
9004770010,400000,0.147,0,0,1275.0,1754,1.0,6,6,0,0,0,1,1,0,1,1.0,2,2.0,2004
9004830080,265000,0.2468,0,0,1428.0,1962,1.0,6,7,0,0,0,1,1,0,0,1.0,2,2.0,2004
9004830120,268000,0.2468,0,0,1428.0,1609,1.0,6,7,0,0,0,1,1,0,0,1.0,2,2.0,2005
9004840010,150000,0.064,0,0,46.0,794,1.0,6,2,0,0,0,1,0,0,0,1.0,2,1.0,1981
9004940070,225000,0.1066,0,0,1043.0,1652,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.5,2004
9004950090,355501,0.1252,0,0,1275.0,1770,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.5,2004
9005020080,425000,0.147,0,0,1275.0,2407,1.0,6,6,0,0,0,1,1,0,1,2.0,3,2.5,2004
9005140400,168000,0.11,0,0,1043.0,1452,1.0,6,7,0,0,0,0,1,0,0,1.0,2,1.75,2006
9005160100,173500,0.0692,0,0,23.0,1766,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.25,2004
9005240110,375000,0.147,0,0,1275.0,1754,1.0,6,6,0,0,0,1,1,0,1,1.0,2,2.0,2004
9005280070,238000,0.0577,0,0,23.0,1021,1.0,6,5,0,0,0,1,1,0,1,2.0,2,2.0,2004
9005290070,261000,0.0697,0,0,23.0,1739,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.25,2005
9005290080,266000,0.0655,0,0,23.0,1589,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.25,2005
9005440040,350000,0.1178,0,0,1275.0,1675,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2004
9006560040,235000,0.1697,0,0,6433.0,1185,1.0,6,5,0,0,0,0,1,0,1,2.0,2,2.5,2006
9006630220,382000,0.1279,0,0,1275.0,2108,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.25,2006
9006740060,284500,0.0744,0,0,4215.0,1524,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,2006
9006750020,222000,0.0809,0,0,5407.0,1689,1.0,6,5,0,0,0,0,1,0,0,3.0,2,2.5,2007
