Parcel_Number,sale_price,Land_Net_Acres,View_Quality,Waterfront_Type,Crime_Num,withInSewerImprovement,near_firestation,near_libraries,near_policestation,near_waterplants,square_feet,percent_complete,condition,quality,attic_finished_square_feet,basement_square_feet,basement_finished_square_feet,porch_square_feet,attached_garage_square_feet,detached_garage_square_feet,fireplaces,stories,bedrooms,bathrooms,year_built,near_hospital,near_private_school,near_elementary_school,near_high_school,near_college
219091028,268000,0.2904,0,0,46.0,1,1,0,0,0,924,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.0,2000,1,1,1,1,1
219092032,345000,0.4462,0,1,46.0,1,1,0,0,0,1700,1.0,6,5,0,0,0,1,0,0,1,2.0,4,1.75,1990,1,1,1,1,1
219094059,300000,0.2371,0,0,46.0,1,1,0,0,0,1433,1.0,6,4,0,0,0,1,0,0,1,1.0,4,2.5,1994,1,1,1,1,1
219094065,230000,0.1687,0,0,46.0,1,1,0,0,0,1091,1.0,6,3,0,0,0,0,1,0,1,1.0,3,1.0,1986,1,1,1,1,1
219094083,100000,0.1814,0,0,46.0,1,1,0,0,0,641,1.0,4,2,0,0,0,0,0,0,1,1.0,1,1.0,1966,1,1,1,1,1
219094096,274900,0.3505,0,0,46.0,1,1,0,0,0,1600,1.0,4,2,0,0,0,0,0,0,1,1.0,3,1.75,1946,1,1,1,1,1
219098011,300000,0.45,0,0,46.0,1,1,0,0,0,1597,1.0,6,5,0,0,0,1,1,0,0,2.0,2,2.0,1994,1,1,1,1,1
219098018,370000,0.19,0,0,46.0,1,1,0,0,0,2064,1.0,6,5,0,0,0,1,1,0,1,2.0,5,2.5,2002,1,1,1,1,1
219106027,550000,0.3014,0,0,46.0,1,1,0,0,0,1969,1.0,6,7,0,1,1,1,0,0,1,1.0,3,2.5,2016,1,1,1,1,1
219114022,156000,0.2272,0,0,46.0,1,0,0,0,0,888,1.0,6,3,0,0,0,1,0,0,0,1.0,2,1.0,1980,1,1,1,1,0
219115010,430000,0.4899,0,0,46.0,1,0,1,0,0,2574,1.0,6,5,0,0,0,1,1,0,1,1.5,4,2.75,1999,1,1,1,1,1
219122154,235000,0.1997,0,0,46.0,1,1,0,0,0,1176,1.0,6,3,0,0,0,1,0,0,0,1.0,4,2.0,1975,1,1,1,1,0
219141033,207700,0.3599,0,0,46.0,1,0,0,0,0,920,1.0,6,3,0,0,0,0,0,0,0,1.0,2,1.0,1981,1,1,1,1,0
219165014,300000,0.1666,0,0,46.0,1,1,0,0,0,1512,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,2008,1,1,1,1,1
219212110,278000,0.1664,0,0,46.0,0,1,1,0,0,1330,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,2017,1,1,1,1,0
219212190,400000,0.3199,0,0,46.0,0,1,1,0,0,3092,1.0,6,4,0,0,0,1,0,0,2,3.0,3,3.25,1979,1,1,1,1,0
220012057,230000,0.0876,0,0,1351.0,0,1,0,0,0,916,1.0,6,3,0,0,0,0,0,0,0,1.0,2,1.0,1978,1,1,1,1,1
220012180,425000,0.1818,0,0,1351.0,0,0,0,0,0,1426,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1987,1,1,1,1,1
220012221,290000,0.1735,0,0,1351.0,0,0,0,0,0,2230,1.0,6,4,0,0,0,0,0,0,1,2.0,2,1.5,1982,1,1,1,1,1
220014093,350000,0.1515,0,0,1351.0,0,1,0,0,0,960,1.0,6,5,1,0,0,1,0,1,0,1.0,4,1.75,1988,1,1,1,1,1
220016016,368000,0.1699,0,0,1351.0,0,1,0,0,0,1595,1.0,6,5,0,0,0,1,1,0,0,2.0,3,2.5,2000,1,1,1,1,1
220037020,575000,0.522,1,0,1351.0,0,1,0,0,0,2442,1.0,6,5,0,0,0,0,0,0,1,2.0,4,2.5,1988,1,1,1,1,1
220037067,565000,0.183,0,0,1351.0,0,1,1,0,0,1877,1.0,6,6,0,1,1,1,1,0,2,1.0,3,2.75,2004,1,1,1,1,1
220044253,320000,0.1377,0,0,1351.0,0,0,0,0,0,1725,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.0,1981,1,1,1,1,1
220044272,289000,0.1148,0,0,1351.0,0,0,0,0,0,994,1.0,6,4,0,0,0,1,1,0,1,1.0,3,1.0,1990,1,1,1,1,1
220044276,330000,0.2685,0,0,1351.0,0,0,0,0,0,1939,1.0,5,5,0,1,1,0,0,0,1,1.5,5,2.75,1971,1,1,1,1,1
220044323,402000,0.2199,0,0,1351.0,0,0,0,0,0,1224,1.0,6,5,0,1,1,1,1,0,2,1.0,4,3.0,2002,1,1,1,1,1
220048026,389950,0.1099,0,0,1351.0,0,0,0,0,0,1419,1.0,6,5,0,1,1,1,1,0,1,2.0,4,2.5,1996,1,1,1,1,1
220052010,765000,0.3673,0,1,1351.0,0,0,0,0,0,1120,1.0,6,2,0,1,0,1,0,0,1,1.0,2,1.75,1968,1,1,1,1,0
220052046,95000,0.5032,0,1,1351.0,0,0,0,0,0,3166,1.0,6,6,0,0,0,1,0,1,1,2.0,3,3.5,2012,1,1,1,1,0
220052047,609000,0.2789,1,0,1351.0,0,0,0,0,0,1589,1.0,6,5,0,1,1,1,0,0,1,1.0,5,1.75,1978,1,1,1,1,0
220072054,307500,0.3787,0,0,1351.0,0,1,0,0,0,1512,1.0,6,5,0,0,0,1,1,0,1,2.0,3,1.5,1986,1,0,1,1,0
220091083,435000,0.3054,0,0,1351.0,1,0,0,0,0,1406,1.0,6,5,1,0,0,1,1,0,1,1.0,3,1.5,1985,1,1,1,1,1
220091181,410000,0.33,0,0,1351.0,1,0,0,0,0,1808,1.0,6,4,0,0,0,1,1,0,2,1.0,4,2.0,1978,1,1,1,1,1
220093035,596550,0.3281,1,0,1351.0,1,0,0,0,0,1246,1.0,6,5,0,1,1,1,0,1,1,1.0,4,1.75,1974,1,1,1,1,1
220095012,434000,0.3139,0,0,1351.0,0,0,0,0,0,2440,1.0,6,4,0,0,0,1,1,0,2,2.0,4,3.0,1988,1,1,1,1,1
220101073,334950,0.2203,0,0,1351.0,1,1,1,0,0,1416,1.0,6,4,0,0,0,1,1,0,2,1.0,3,1.5,1977,1,1,1,1,1
220102058,333250,0.1757,0,0,1351.0,1,1,1,1,0,1490,1.0,6,2,0,0,0,0,0,0,0,1.0,4,1.0,1971,1,1,1,1,1
220102094,270000,0.2134,0,0,1351.0,1,0,1,1,0,1001,1.0,5,2,0,0,0,0,0,0,0,1.0,2,1.0,1973,1,1,1,1,1
220153141,319588,0.21,0,0,1351.0,0,1,1,1,0,1402,1.0,6,5,1,0,0,1,1,0,1,1.0,3,1.75,1980,1,1,1,1,1
220154035,433000,0.48,0,0,1351.0,0,1,1,1,0,2456,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.5,1980,1,1,1,1,1
220154045,395000,0.31,0,0,1351.0,1,1,1,1,0,2352,1.0,6,5,0,0,0,1,0,0,2,1.0,4,2.75,1986,1,1,1,1,1
220154051,600000,0.33,0,0,1351.0,0,1,1,1,0,2956,1.0,6,5,0,1,1,1,1,0,1,1.5,5,3.75,1994,1,1,1,1,1
121104076,310000,0.3399,0,0,149.0,0,0,0,0,0,1635,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.75,1988,1,1,1,1,0
21351025,210000,0.551,0,1,176.0,0,1,0,0,0,600,1.0,6,1,0,0,0,1,0,0,1,1.0,2,1.0,1976,1,0,1,1,0
121125020,516000,0.65,0,0,149.0,0,0,0,0,0,2009,1.0,6,6,0,0,0,1,1,0,1,2.0,4,2.5,1997,1,1,1,1,1
121236039,460000,0.6605,0,0,149.0,0,0,0,0,0,2122,1.0,6,5,1,0,0,1,1,0,2,1.0,3,2.0,1987,1,1,1,1,1
121238024,235000,0.381,0,0,149.0,0,1,0,0,0,1911,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.75,2000,1,1,1,1,1
121243067,320000,0.6199,0,0,149.0,0,1,0,0,0,1492,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1988,1,1,1,1,1
121234120,449900,0.5681,0,0,149.0,0,1,0,0,0,2144,1.0,6,5,0,0,0,1,1,0,1,2.0,4,2.5,2006,1,1,1,1,0
121247011,434950,0.45,0,0,149.0,0,1,0,0,0,1917,1.0,6,5,0,0,0,1,1,0,2,2.0,3,2.25,1995,1,1,1,1,1
121247026,270000,0.4621,0,0,149.0,0,1,0,0,0,1696,1.0,5,4,0,0,0,0,1,0,2,1.0,3,2.0,1980,1,1,1,1,1
121247072,300000,0.6199,0,0,149.0,0,1,0,0,0,1476,1.0,6,5,0,0,0,0,1,0,1,1.0,3,1.5,1991,1,1,1,1,1
121253035,495000,0.6399,1,0,149.0,0,0,0,0,0,1974,1.0,6,4,0,1,1,1,0,0,1,2.0,3,2.75,1987,1,1,1,1,0
121265011,400000,0.41,0,0,149.0,0,1,0,0,0,1704,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.5,1986,1,1,1,1,0
121345027,405100,0.65,1,0,149.0,0,0,0,0,0,1927,1.0,6,5,0,0,0,1,0,1,1,1.0,3,1.75,1988,1,1,1,1,0
122144028,550000,0.3673,0,1,451.0,0,0,0,0,0,1728,1.0,6,4,0,0,0,1,0,0,0,1.0,2,1.75,2002,1,0,1,1,0
121247005,375000,0.3842,0,0,149.0,0,1,0,0,0,2100,1.0,6,4,0,0,0,1,1,0,2,1.0,4,3.5,1986,1,1,1,1,1
121281078,665500,0.4258,0,1,149.0,0,0,0,0,0,1800,1.0,6,5,0,0,0,1,1,0,2,1.0,3,1.5,1983,1,1,1,1,0
121361016,290000,0.6887,0,1,149.0,0,0,0,0,0,1640,1.0,5,3,0,0,0,1,0,0,1,1.0,3,1.0,1979,1,1,1,1,0
122133065,400000,0.551,0,0,451.0,0,1,0,0,0,1612,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,2000,1,0,1,1,0
122133093,300000,0.35,0,0,451.0,0,1,0,0,0,1396,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1985,1,0,1,1,0
122147003,335000,0.6799,0,0,451.0,0,0,0,0,0,1374,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1995,1,0,1,1,0
121225079,385000,0.4,0,0,149.0,0,1,0,0,0,1406,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.0,1992,1,1,1,1,0
121244030,450000,0.3402,0,1,149.0,0,1,0,0,0,880,1.0,6,5,0,0,0,1,0,1,1,1.0,2,1.0,1977,1,1,1,1,1
121248031,354000,0.36,0,0,149.0,0,1,0,0,0,1644,1.0,6,5,0,0,0,0,1,0,1,2.0,3,2.5,1993,1,1,1,1,1
121262075,780000,0.2387,0,1,149.0,0,0,0,0,0,2016,1.0,6,4,0,0,0,0,0,0,1,3.0,3,2.5,1994,1,1,1,1,0
122132063,150000,0.3316,0,0,451.0,0,0,0,0,0,1776,1.0,6,4,0,0,0,0,0,0,0,1.0,3,2.0,2003,1,0,1,1,0
122226058,349950,0.642,0,0,451.0,0,1,0,0,0,1575,1.0,6,5,0,0,0,1,1,0,1,2.0,3,2.25,1994,1,0,1,1,0
122233048,598500,0.5961,1,0,451.0,0,0,0,0,0,1897,1.0,6,6,0,1,1,1,0,1,3,2.0,3,2.5,2005,1,0,1,1,0
122235002,650000,0.6699,1,0,451.0,0,0,0,0,0,1490,1.0,6,6,0,1,1,1,0,0,1,1.0,3,2.75,1992,1,0,1,1,0
122243087,313500,0.5899,0,0,451.0,0,1,0,1,0,1824,1.0,6,4,0,0,0,1,0,1,1,2.0,5,1.75,1982,1,0,1,1,0
122321055,495000,0.3199,1,0,451.0,0,0,0,0,0,3541,1.0,6,4,0,0,0,0,0,0,1,2.0,3,1.75,1987,1,0,1,0,0
122351026,250000,0.6198,0,0,451.0,0,1,0,0,0,894,1.0,6,3,0,0,0,1,1,0,1,1.0,2,1.0,1976,1,1,1,1,0
217104001,40200,0.1652,0,0,176.0,0,0,0,0,0,1057,1.0,4,2,0,0,0,0,0,0,0,2.0,3,1.0,1981,1,0,1,0,0
122214087,269900,0.5539999999999999,0,0,451.0,0,1,0,0,0,1616,1.0,6,5,0,0,0,1,0,0,1,1.0,3,2.0,1995,1,0,1,1,0
122215012,270000,0.6199,0,0,451.0,0,1,0,0,0,1072,1.0,6,4,0,0,0,1,1,0,1,1.0,3,2.0,1988,1,0,1,1,0
122226032,297500,0.5599,0,0,451.0,0,1,0,0,0,1303,1.0,6,4,0,0,0,1,1,0,1,1.0,3,2.0,1993,1,0,1,1,0
122226033,289900,0.61,0,0,451.0,0,1,0,0,0,1292,1.0,6,4,0,0,0,0,1,0,1,1.0,3,2.0,1999,1,0,1,1,0
122232071,396500,0.6199,0,0,451.0,0,0,0,0,0,2054,1.0,6,5,0,0,0,0,1,0,1,2.0,4,3.0,2013,1,0,1,1,0
122236013,690000,0.6199,0,0,451.0,0,0,0,0,0,3190,1.0,6,7,1,0,0,0,0,0,2,3.5,3,2.5,2006,1,0,1,1,0
122243038,545000,0.6542,0,1,451.0,0,1,0,1,0,1568,1.0,6,5,0,1,1,1,0,0,1,1.0,4,2.75,1984,1,0,1,1,0
122366012,322900,0.6,0,0,451.0,0,1,0,0,0,2252,1.0,6,5,0,0,0,1,1,1,1,2.0,3,2.25,1991,1,1,1,1,1
122366034,700000,0.6367,0,0,451.0,0,1,0,0,0,3468,1.0,6,9,0,1,1,1,0,0,1,2.0,3,2.5,1999,1,1,1,1,0
218343013,294000,0.3305,0,0,18.0,0,1,0,1,0,1576,1.0,6,5,0,0,0,1,1,0,1,1.0,3,1.75,1986,1,0,1,0,0
218343040,225000,0.3193,0,0,18.0,0,1,0,1,0,1608,1.0,6,1,0,0,0,0,0,0,1,1.0,4,1.0,1963,1,0,1,0,0
219022061,233000,0.2172,0,0,46.0,1,0,1,1,0,1174,1.0,5,2,0,0,0,0,0,0,1,1.0,3,1.75,1969,1,1,1,1,1
219043083,415000,0.4096,0,0,46.0,1,1,0,0,0,1932,1.0,6,5,0,0,0,1,1,0,1,1.0,3,2.5,1998,1,1,1,1,1
219044042,195000,0.36,0,0,46.0,1,1,0,0,0,1278,1.0,6,4,0,1,1,1,0,0,1,1.0,3,1.75,2000,1,1,1,1,1
